,Characteristic,Sex,Year,"Rate per 100,000",Count
0,Total,MF,2000,791,218896
1,Total,MF,2001,777,219439
2,Total,MF,2002,766,220072
3,Total,MF,2003,750,218436
4,Total,MF,2004,707,207416
5,Total,MF,2005,680,200050
6,Total,MF,2006,663,196234
7,Total,MF,2007,662,197731
8,Total,MF,2008,658,199105
9,Total,MF,2009,660,201325
10,Total,MF,2010,644,198997
11,Total,MF,2011,616,192248
12,Total,MF,2012,575,180734
13,Total - Male,Male,2000,1478,209543
14,Total - Male,Male,2001,1447,209658
15,Total - Male,Male,2002,1422,209710
16,Total - Male,Male,2003,1388,207921
17,Total - Male,Male,2004,1305,196906
18,Total - Male,Male,2005,1249,189298
19,Total - Male,Male,2006,1215,185418
20,Total - Male,Male,2007,1213,186631
21,Total - Male,Male,2008,1207,188035
22,Total - Male,Male,2009,1212,190118
23,Total - Male,Male,2010,1187,187699
24,Total - Male,Male,2011,1136,181510
25,Total - Male,Male,2012,1060,170734
26,Total - Female,Female,2000,67,9089
27,Total - Female,Female,2001,71,9724
28,Total - Female,Female,2002,74,10336
29,Total - Female,Female,2003,73,10396
30,Total - Female,Female,2004,73,10464
31,Total - Female,Female,2005,75,10713
32,Total - Female,Female,2006,75,10768
33,Total - Female,Female,2007,76,11044
34,Total - Female,Female,2008,75,11036
35,Total - Female,Female,2009,76,11186
36,Total - Female,Female,2010,75,11277
37,Total - Female,Female,2011,70,10696
38,Total - Female,Female,2012,65,9942
39,"Total - White, non-Hispanic",MF,2000,345,59129
40,"Total - White, non-Hispanic",MF,2001,349,60836
41,"Total - White, non-Hispanic",MF,2002,353,62498
42,"Total - White, non-Hispanic",MF,2003,340,61052
43,"Total - White, non-Hispanic",MF,2004,331,59749
44,"Total - White, non-Hispanic",MF,2005,316,57006
45,"Total - White, non-Hispanic",MF,2006,301,54466
46,"Total - White, non-Hispanic",MF,2007,289,52669
47,"Total - White, non-Hispanic",MF,2008,284,52055
48,"Total - White, non-Hispanic",MF,2009,281,51343
49,"Total - White, non-Hispanic",MF,2010,284,49975
50,"Total - White, non-Hispanic",MF,2011,274,48219
51,"Total - White, non-Hispanic",MF,2012,252,44309
52,"Total - Black, non-Hispanic",MF,2000,2732,104880
53,"Total - Black, non-Hispanic",MF,2001,2577,101386
54,"Total - Black, non-Hispanic",MF,2002,2461,98762
55,"Total - Black, non-Hispanic",MF,2003,2241,91538
56,"Total - Black, non-Hispanic",MF,2004,2134,88053
57,"Total - Black, non-Hispanic",MF,2005,1918,79797
58,"Total - Black, non-Hispanic",MF,2006,1865,78688
59,"Total - Black, non-Hispanic",MF,2007,1837,79176
60,"Total - Black, non-Hispanic",MF,2008,1862,82178
61,"Total - Black, non-Hispanic",MF,2009,1875,84161
62,"Total - Black, non-Hispanic",MF,2010,1865,83931
63,"Total - Black, non-Hispanic",MF,2011,1775,81714
64,"Total - Black, non-Hispanic",MF,2012,1623,75921
65,Total - Hispanic,MF,2000,1004,48696
66,Total - Hispanic,MF,2001,1012,50167
67,Total - Hispanic,MF,2002,1017,51153
68,Total - Hispanic,MF,2003,1007,51263
69,Total - Hispanic,MF,2004,974,49987
70,Total - Hispanic,MF,2005,941,48588
71,Total - Hispanic,MF,2006,926,48308
72,Total - Hispanic,MF,2007,932,49336
73,Total - Hispanic,MF,2008,892,48479
74,Total - Hispanic,MF,2009,888,49510
75,Total - Hispanic,MF,2010,780,48889
76,Total - Hispanic,MF,2011,724,46482
77,Total - Hispanic,MF,2012,640,41523
78,"Total - Other race, non-Hispanic",MF,2000,826,15350
79,"Total - Other race, non-Hispanic",MF,2001,831,15868
80,"Total - Other race, non-Hispanic",MF,2002,805,15739
81,"Total - Other race, non-Hispanic",MF,2003,800,15920
82,"Total - Other race, non-Hispanic",MF,2004,792,15903
83,"Total - Other race, non-Hispanic",MF,2005,784,15848
84,"Total - Other race, non-Hispanic",MF,2006,777,15873
85,"Total - Other race, non-Hispanic",MF,2007,731,15110
86,"Total - Other race, non-Hispanic",MF,2008,689,14484
87,"Total - Other race, non-Hispanic",MF,2009,626,13340
88,"Total - Other race, non-Hispanic",MF,2010,504,12802
89,"Total - Other race, non-Hispanic",MF,2011,452,11648
90,"Total - Other race, non-Hispanic",MF,2012,613,16478
91,"White, non-Hispanic",Male,2000,639,55602
92,"White, non-Hispanic",Male,2001,644,57102
93,"White, non-Hispanic",Male,2002,647,58313
94,"White, non-Hispanic",Male,2003,620,56733
95,"White, non-Hispanic",Male,2004,598,55179
96,"White, non-Hispanic",Male,2005,566,52373
97,"White, non-Hispanic",Male,2006,535,49788
98,"White, non-Hispanic",Male,2007,514,47974
99,"White, non-Hispanic",Male,2008,504,47410
100,"White, non-Hispanic",Male,2009,496,46577
101,"White, non-Hispanic",Male,2010,504,45219
102,"White, non-Hispanic",Male,2011,484,43442
103,"White, non-Hispanic",Male,2012,446,40090
104,"Black, non-Hispanic",Male,2000,5358,101521
105,"Black, non-Hispanic",Male,2001,5010,97890
106,"Black, non-Hispanic",Male,2002,4751,95276
107,"Black, non-Hispanic",Male,2003,4303,88175
108,"Black, non-Hispanic",Male,2004,4072,84670
109,"Black, non-Hispanic",Male,2005,3653,76800
110,"Black, non-Hispanic",Male,2006,3541,75759
111,"Black, non-Hispanic",Male,2007,3491,76236
112,"Black, non-Hispanic",Male,2008,3542,79183
113,"Black, non-Hispanic",Male,2009,3565,81033
114,"Black, non-Hispanic",Male,2010,3588,80813
115,"Black, non-Hispanic",Male,2011,3396,78647
116,"Black, non-Hispanic",Male,2012,3102,73224
117,Hispanic,Male,2000,1765,46949
118,Hispanic,Male,2001,1781,48352
119,Hispanic,Male,2002,1790,49174
120,Hispanic,Male,2003,1777,49180
121,Hispanic,Male,2004,1723,47798
122,Hispanic,Male,2005,1666,46265
123,Hispanic,Male,2006,1641,45848
124,Hispanic,Male,2007,1662,46830
125,Hispanic,Male,2008,1599,46023
126,Hispanic,Male,2009,1600,47140
127,Hispanic,Male,2010,1405,46546
128,Hispanic,Male,2011,1308,44268
129,Hispanic,Male,2012,1165,39631
130,"Other race, non-Hispanic",Male,2000,1557,14504
131,"Other race, non-Hispanic",Male,2001,1558,14897
132,"Other race, non-Hispanic",Male,2002,1497,14699
133,"Other race, non-Hispanic",Male,2003,1500,15010
134,"Other race, non-Hispanic",Male,2004,1479,14976
135,"Other race, non-Hispanic",Male,2005,1427,14565
136,"Other race, non-Hispanic",Male,2006,1395,14431
137,"Other race, non-Hispanic",Male,2007,1300,13626
138,"Other race, non-Hispanic",Male,2008,1226,13084
139,"Other race, non-Hispanic",Male,2009,1121,12127
140,"Other race, non-Hispanic",Male,2010,912,11651
141,"Other race, non-Hispanic",Male,2011,824,10699
142,"Other race, non-Hispanic",Male,2012,1124,15227
143,"White, non-Hispanic",Female,2000,41,3498
144,"White, non-Hispanic",Female,2001,43,3725
145,"White, non-Hispanic",Female,2002,48,4165
146,"White, non-Hispanic",Female,2003,49,4301
147,"White, non-Hispanic",Female,2004,52,4560
148,"White, non-Hispanic",Female,2005,53,4640
149,"White, non-Hispanic",Female,2006,53,4684
150,"White, non-Hispanic",Female,2007,53,4695
151,"White, non-Hispanic",Female,2008,52,4656
152,"White, non-Hispanic",Female,2009,54,4769
153,"White, non-Hispanic",Female,2010,55,4757
154,"White, non-Hispanic",Female,2011,55,4777
155,"White, non-Hispanic",Female,2012,49,4219
156,"Black, non-Hispanic",Female,2000,180,3500
157,"Black, non-Hispanic",Female,2001,181,3575
158,"Black, non-Hispanic",Female,2002,177,3561
159,"Black, non-Hispanic",Female,2003,170,3466
160,"Black, non-Hispanic",Female,2004,166,3408
161,"Black, non-Hispanic",Female,2005,151,3100
162,"Black, non-Hispanic",Female,2006,145,3021
163,"Black, non-Hispanic",Female,2007,143,3031
164,"Black, non-Hispanic",Female,2008,143,3104
165,"Black, non-Hispanic",Female,2009,145,3207
166,"Black, non-Hispanic",Female,2010,142,3182
167,"Black, non-Hispanic",Female,2011,135,3097
168,"Black, non-Hispanic",Female,2012,118,2745
169,Hispanic,Female,2000,73,1596
170,Hispanic,Female,2001,75,1684
171,Hispanic,Female,2002,81,1841
172,Hispanic,Female,2003,84,1958
173,Hispanic,Female,2004,89,2100
174,Hispanic,Female,2005,94,2247
175,Hispanic,Female,2006,99,2403
176,Hispanic,Female,2007,100,2464
177,Hispanic,Female,2008,94,2407
178,Hispanic,Female,2009,88,2303
179,Hispanic,Female,2010,78,2291
180,Hispanic,Female,2011,71,2166
181,Hispanic,Female,2012,60,1847
182,"Other race, non-Hispanic",Female,2000,94,869
183,"Other race, non-Hispanic",Female,2001,104,988
184,"Other race, non-Hispanic",Female,2002,108,1052
185,"Other race, non-Hispanic",Female,2003,94,932
186,"Other race, non-Hispanic",Female,2004,97,964
187,"Other race, non-Hispanic",Female,2005,129,1289
188,"Other race, non-Hispanic",Female,2006,140,1410
189,"Other race, non-Hispanic",Female,2007,140,1429
190,"Other race, non-Hispanic",Female,2008,132,1361
191,"Other race, non-Hispanic",Female,2009,115,1208
192,"Other race, non-Hispanic",Female,2010,91,1154
193,"Other race, non-Hispanic",Female,2011,75,964
194,"Other race, non-Hispanic",Female,2012,95,1267

